dt,WR_x,WR_y,U_dN
2.67,10.8503,10.8503,10.8545
2.68,10.842,10.842,10.8461
2.69,10.8336,10.8336,10.8378
2.7,10.8252,10.8252,10.8294
2.71,10.8168,10.8168,10.821
2.72,10.8083,10.8083,10.8125
2.73,10.7998,10.7998,10.8041
2.74,10.7913,10.7913,10.7956
2.75,10.7828,10.7828,10.7871
2.76,10.7742,10.7742,10.7785
2.77,10.7657,10.7657,10.7699
2.78,10.757,10.757,10.7613
2.79,10.7484,10.7484,10.7527
2.8,10.7397,10.7397,10.7441
2.81,10.7311,10.7311,10.7354
2.82,10.7223,10.7223,10.7267
2.83,10.7136,10.7136,10.718
2.84,10.7048,10.7048,10.7092
2.85,10.696,10.696,10.7004
2.86,10.6872,10.6872,10.6916
2.87,10.6784,10.6784,10.6828
2.88,10.6695,10.6695,10.6739
2.89,10.6606,10.6606,10.665
2.9,10.6517,10.6517,10.6561
2.91,10.6427,10.6427,10.6472
2.92,10.6337,10.6337,10.6382
2.93,10.6247,10.6247,10.6292
2.94,10.6157,10.6157,10.6202
2.95,10.6066,10.6066,10.6112
2.96,10.5975,10.5975,10.6021
2.97,10.5884,10.5884,10.593
2.98,10.5793,10.5793,10.5839
2.99,10.5701,10.5701,10.5747
3.0,10.561,10.561,10.5656
3.01,10.5518,10.5518,10.5564
3.02,10.5425,10.5425,10.5471
3.03,10.5333,10.5333,10.5379
3.04,10.524,10.524,10.5286
3.05,10.5147,10.5147,10.5193
3.06,10.5053,10.5053,10.51
3.07,10.496,10.496,10.5006
3.08,10.4866,10.4866,10.4913
3.09,10.4772,10.4772,10.4819
3.1,10.4677,10.4677,10.4724
3.11,10.4583,10.4583,10.463
3.12,10.4488,10.4488,10.4535
3.13,10.4393,10.4393,10.444
3.14,10.4297,10.4297,10.4345
3.15,10.4202,10.4202,10.4249
3.16,10.4106,10.4106,10.4154
3.17,10.401,10.401,10.4058
3.18,10.3913,10.3913,10.3961
3.19,10.3817,10.3817,10.3865
3.2,10.372,10.372,10.3768
3.21,10.3623,10.3623,10.3671
3.22,10.3525,10.3525,10.3574
3.23,10.3428,10.3428,10.3477
3.24,10.333,10.333,10.3379
3.25,10.3232,10.3232,10.3281
3.26,10.3134,10.3134,10.3183
3.27,10.3035,10.3035,10.3084
3.28,10.2936,10.2936,10.2986
3.29,10.2837,10.2837,10.2887
3.3,10.2738,10.2738,10.2788
3.31,10.2638,10.2638,10.2688
3.32,10.2539,10.2539,10.2588
3.33,10.2439,10.2439,10.2489
3.34,10.2338,10.2338,10.2388
3.35,10.2238,10.2238,10.2288
3.36,10.2137,10.2137,10.2188
3.37,10.2036,10.2036,10.2087
3.38,10.1935,10.1935,10.1986
3.39,10.1834,10.1834,10.1884
3.4,10.1732,10.1732,10.1783
3.41,10.163,10.163,10.1681
3.42,10.1528,10.1528,10.1579
3.43,10.1426,10.1426,10.1477
3.44,10.1323,10.1323,10.1374
3.45,10.122,10.122,10.1272
3.46,10.1117,10.1117,10.1169
3.47,10.1014,10.1014,10.1066
3.48,10.091,10.091,10.0962
3.49,10.0807,10.0807,10.0858
3.5,10.0703,10.0703,10.0755
3.51,10.0598,10.0598,10.0651
3.52,10.0494,10.0494,10.0546
3.53,10.0389,10.0389,10.0442
3.54,10.0284,10.0284,10.0337
3.55,10.0179,10.0179,10.0232
3.56,10.0074,10.0074,10.0127
3.57,9.99684,9.99684,10.0021
3.58,9.98626,9.98626,9.99155
3.59,9.97566,9.97566,9.98096
3.6,9.96503,9.96503,9.97035
3.61,9.95439,9.95439,9.95971
3.62,9.94372,9.94372,9.94905
3.63,9.93303,9.93303,9.93837
3.64,9.92231,9.92231,9.92767
3.65,9.91158,9.91158,9.91695
3.66,9.90082,9.90082,9.9062
