dt,WRv_x,WRv_y,U_vN
2.77,-0.859797,-0.859797,-0.858465
2.78,-0.862454,-0.862454,-0.861125
2.79,-0.865107,-0.865107,-0.863781
2.8,-0.867755,-0.867755,-0.866431
2.81,-0.870399,-0.870399,-0.869077
2.82,-0.873038,-0.873038,-0.871719
2.83,-0.875672,-0.875672,-0.874355
2.84,-0.878302,-0.878302,-0.876987
2.85,-0.880927,-0.880927,-0.879615
2.86,-0.883547,-0.883547,-0.882237
2.87,-0.886163,-0.886163,-0.884855
2.88,-0.888774,-0.888774,-0.887468
2.89,-0.89138,-0.89138,-0.890077
2.9,-0.893981,-0.893981,-0.89268
2.91,-0.896578,-0.896578,-0.895279
2.92,-0.899169,-0.899169,-0.897874
2.93,-0.901756,-0.901756,-0.900463
2.94,-0.904339,-0.904339,-0.903047
2.95,-0.906916,-0.906916,-0.905627
2.96,-0.909488,-0.909488,-0.908202
2.97,-0.912056,-0.912056,-0.910772
2.98,-0.914619,-0.914619,-0.913338
2.99,-0.917177,-0.917177,-0.915898
3.0,-0.91973,-0.91973,-0.918454
3.01,-0.922278,-0.922278,-0.921004
3.02,-0.924822,-0.924822,-0.92355
3.03,-0.92736,-0.92736,-0.926091
3.04,-0.929893,-0.929893,-0.928627
3.05,-0.932422,-0.932422,-0.931158
3.06,-0.934946,-0.934946,-0.933684
3.07,-0.937464,-0.937464,-0.936205
3.08,-0.939978,-0.939978,-0.938721
3.09,-0.942487,-0.942487,-0.941232
3.1,-0.94499,-0.94499,-0.943738
3.11,-0.947489,-0.947489,-0.94624
3.12,-0.949983,-0.949983,-0.948736
3.13,-0.952471,-0.952471,-0.951227
3.14,-0.954955,-0.954955,-0.953713
3.15,-0.957433,-0.957433,-0.956194
3.16,-0.959907,-0.959907,-0.95867
3.17,-0.962375,-0.962375,-0.961141
3.18,-0.964838,-0.964838,-0.963607
3.19,-0.967297,-0.967297,-0.966067
3.2,-0.96975,-0.96975,-0.968523
3.21,-0.972198,-0.972198,-0.970974
3.22,-0.97464,-0.97464,-0.973419
3.23,-0.977078,-0.977078,-0.975859
3.24,-0.979511,-0.979511,-0.978294
3.25,-0.981938,-0.981938,-0.980724
3.26,-0.98436,-0.98436,-0.983149
3.27,-0.986777,-0.986777,-0.985569
3.28,-0.989189,-0.989189,-0.987983
3.29,-0.991595,-0.991595,-0.990392
3.3,-0.993997,-0.993997,-0.992796
3.31,-0.996393,-0.996393,-0.995195
3.32,-0.998784,-0.998784,-0.997588
3.33,-1.00117,-1.00117,-0.999977
3.34,-1.00355,-1.00355,-1.00236
3.35,-1.00592,-1.00592,-1.00474
3.36,-1.00829,-1.00829,-1.00711
3.37,-1.01066,-1.01066,-1.00948
3.38,-1.01302,-1.01302,-1.01184
3.39,-1.01537,-1.01537,-1.0142
3.4,-1.01772,-1.01772,-1.01655
3.41,-1.02006,-1.02006,-1.01889
3.42,-1.0224,-1.0224,-1.02123
3.43,-1.02473,-1.02473,-1.02357
3.44,-1.02706,-1.02706,-1.0259
3.45,-1.02938,-1.02938,-1.02822
3.46,-1.0317,-1.0317,-1.03054
3.47,-1.03401,-1.03401,-1.03286
3.48,-1.03632,-1.03632,-1.03516
3.49,-1.03862,-1.03862,-1.03747
3.5,-1.04091,-1.04091,-1.03976
3.51,-1.0432,-1.0432,-1.04206
3.52,-1.04548,-1.04548,-1.04434
3.53,-1.04776,-1.04776,-1.04662
3.54,-1.05004,-1.05004,-1.0489
3.55,-1.0523,-1.0523,-1.05117
3.56,-1.05456,-1.05456,-1.05343
3.57,-1.05682,-1.05682,-1.05569
3.58,-1.05907,-1.05907,-1.05795
3.59,-1.06132,-1.06132,-1.06019
3.6,-1.06356,-1.06356,-1.06244
3.61,-1.06579,-1.06579,-1.06467
3.62,-1.06802,-1.06802,-1.06691
3.63,-1.07024,-1.07024,-1.06913
3.64,-1.07246,-1.07246,-1.07135
3.65,-1.07467,-1.07467,-1.07357
3.66,-1.07688,-1.07688,-1.07578
3.67,-1.07908,-1.07908,-1.07798
3.68,-1.08128,-1.08128,-1.08018
3.69,-1.08347,-1.08347,-1.08237
3.7,-1.08565,-1.08565,-1.08456
3.71,-1.08783,-1.08783,-1.08674
3.72,-1.09,-1.09,-1.08891
3.73,-1.09217,-1.09217,-1.09108
3.74,-1.09433,-1.09433,-1.09325
3.75,-1.09649,-1.09649,-1.09541
3.76,-1.09864,-1.09864,-1.09756
3.77,-1.10078,-1.10078,-1.09971
3.78,-1.10292,-1.10292,-1.10185
3.79,-1.10505,-1.10505,-1.10399
3.8,-1.10718,-1.10718,-1.10612
3.81,-1.1093,-1.1093,-1.10824
3.82,-1.11142,-1.11142,-1.11036
3.83,-1.11353,-1.11353,-1.11247
3.84,-1.11563,-1.11563,-1.11458
3.85,-1.11773,-1.11773,-1.11668
3.86,-1.11982,-1.11982,-1.11878
3.87,-1.12191,-1.12191,-1.12087
3.88,-1.12399,-1.12399,-1.12295
3.89,-1.12607,-1.12607,-1.12503
3.9,-1.12814,-1.12814,-1.1271
3.91,-1.1302,-1.1302,-1.12917
3.92,-1.13226,-1.13226,-1.13123
3.93,-1.13431,-1.13431,-1.13329
3.94,-1.13636,-1.13636,-1.13534
3.95,-1.1384,-1.1384,-1.13738
3.96,-1.14043,-1.14043,-1.13942
3.97,-1.14246,-1.14246,-1.14145
3.98,-1.14449,-1.14449,-1.14348
3.99,-1.1465,-1.1465,-1.1455
4.0,-1.14852,-1.14852,-1.14751
4.01,-1.15052,-1.15052,-1.14952
4.02,-1.15252,-1.15252,-1.15152
4.03,-1.15452,-1.15452,-1.15352
4.04,-1.1565,-1.1565,-1.15551
4.05,-1.15849,-1.15849,-1.15749
4.06,-1.16046,-1.16046,-1.15947
4.07,-1.16243,-1.16243,-1.16145
4.08,-1.1644,-1.1644,-1.16341
4.09,-1.16635,-1.16635,-1.16537
4.1,-1.16831,-1.16831,-1.16733
4.11,-1.17025,-1.17025,-1.16928
4.12,-1.17219,-1.17219,-1.17122
4.13,-1.17413,-1.17413,-1.17316
4.14,-1.17606,-1.17606,-1.17509
4.15,-1.17798,-1.17798,-1.17702
4.16,-1.1799,-1.1799,-1.17894
4.17,-1.18181,-1.18181,-1.18085
4.18,-1.18371,-1.18371,-1.18276
4.19,-1.18561,-1.18561,-1.18466
4.2,-1.1875,-1.1875,-1.18656
4.21,-1.18939,-1.18939,-1.18844
4.22,-1.19127,-1.19127,-1.19033
4.23,-1.19314,-1.19314,-1.19221
4.24,-1.19501,-1.19501,-1.19408
4.25,-1.19687,-1.19687,-1.19594
4.26,-1.19873,-1.19873,-1.1978
4.27,-1.20058,-1.20058,-1.19965
4.28,-1.20242,-1.20242,-1.2015
4.29,-1.20426,-1.20426,-1.20334
4.3,-1.20609,-1.20609,-1.20518
4.31,-1.20792,-1.20792,-1.20701
4.32,-1.20974,-1.20974,-1.20883
4.33,-1.21155,-1.21155,-1.21065
4.34,-1.21336,-1.21336,-1.21246
4.35,-1.21516,-1.21516,-1.21426
4.36,-1.21696,-1.21696,-1.21606
4.37,-1.21875,-1.21875,-1.21785
4.38,-1.22053,-1.22053,-1.21964
4.39,-1.22231,-1.22231,-1.22142
4.4,-1.22408,-1.22408,-1.22319
4.41,-1.22584,-1.22584,-1.22496
4.42,-1.2276,-1.2276,-1.22672
4.43,-1.22935,-1.22935,-1.22848
4.44,-1.2311,-1.2311,-1.23023
4.45,-1.23284,-1.23284,-1.23197
4.46,-1.23457,-1.23457,-1.23371
4.47,-1.2363,-1.2363,-1.23544
4.48,-1.23802,-1.23802,-1.23716
4.49,-1.23974,-1.23974,-1.23888
4.5,-1.24145,-1.24145,-1.24059
4.51,-1.24315,-1.24315,-1.2423
4.52,-1.24485,-1.24485,-1.244
4.53,-1.24654,-1.24654,-1.24569
4.54,-1.24822,-1.24822,-1.24738
4.55,-1.2499,-1.2499,-1.24906
4.56,-1.25157,-1.25157,-1.25074
4.57,-1.25324,-1.25324,-1.25241
4.58,-1.2549,-1.2549,-1.25407
4.59,-1.25655,-1.25655,-1.25572
4.6,-1.2582,-1.2582,-1.25738
4.61,-1.25984,-1.25984,-1.25902
4.62,-1.26147,-1.26147,-1.26066
4.63,-1.2631,-1.2631,-1.26229
4.64,-1.26472,-1.26472,-1.26391
4.65,-1.26634,-1.26634,-1.26553
