dt,U_aN
7.55,0.0186903
7.56,0.0192389
7.57,0.0197865
7.58,0.0203332
7.59,0.020879
7.6,0.0214239
7.61,0.0219678
7.62,0.0225107
7.63,0.0230527
7.64,0.0235937
7.65,0.0241338
7.66,0.0246729
7.67,0.0252111
7.68,0.0257483
7.69,0.0262845
7.7,0.0268197
7.71,0.0273539
7.72,0.0278872
7.73,0.0284194
7.74,0.0289507
7.75,0.029481
7.76,0.0300103
7.77,0.0305385
7.78,0.0310658
7.79,0.0315921
7.8,0.0321173
7.81,0.0326415
7.82,0.0331647
7.83,0.0336869
7.84,0.034208
7.85,0.0347282
7.86,0.0352472
7.87,0.0357653
7.88,0.0362823
7.89,0.0367982
7.9,0.0373131
7.91,0.0378269
7.92,0.0383397
7.93,0.0388515
7.94,0.0393621
7.95,0.0398717
7.96,0.0403802
7.97,0.0408877
7.98,0.0413941
7.99,0.0418994
8,0.0424036
8.01,0.0429067
8.02,0.0434087
8.03,0.0439096
8.04,0.0444095
8.05,0.0449082
8.06,0.0454058
8.07,0.0459024
8.08,0.0463978
8.09,0.0468921
8.1,0.0473853
8.11,0.0478773
8.12,0.0483683
8.13,0.0488581
8.14,0.0493467
8.15,0.0498343
8.16,0.0503207
8.17,0.050806
8.18,0.0512901
8.19,0.0517731
8.2,0.0522549
8.21,0.0527356
8.22,0.0532151
8.23,0.0536935
8.24,0.0541707
8.25,0.0546467
8.26,0.0551216
8.27,0.0555953
8.28,0.0560678
8.29,0.0565392
8.3,0.0570093
8.31,0.0574783
8.32,0.0579461
8.33,0.0584127
8.34,0.0588781
8.35,0.0593424
8.36,0.0598054
8.37,0.0602672
8.38,0.0607278
8.39,0.0611873
8.4,0.0616455
8.41,0.0621025
8.42,0.0625582
8.43,0.0630128
8.44,0.0634661
8.45,0.0639182
8.46,0.0643691
8.47,0.0648188
8.48,0.0652672
8.49,0.0657144
8.5,0.0661604
8.51,0.0666051
8.52,0.0670486
8.53,0.0674908
8.54,0.0679318
8.55,0.0683715
8.56,0.06881
8.57,0.0692472
8.58,0.0696831
8.59,0.0701178
8.6,0.0705512
8.61,0.0709834
8.62,0.0714143
8.63,0.0718439
8.64,0.0722723
8.65,0.0726993
8.66,0.0731251
8.67,0.0735496
8.68,0.0739728
8.69,0.0743948
8.7,0.0748154
8.71,0.0752348
8.72,0.0756528
8.73,0.0760696
8.74,0.076485
8.75,0.0768992
8.76,0.077312
8.77,0.0777235
8.78,0.0781338
8.79,0.0785427
8.8,0.0789503
8.81,0.0793566
8.82,0.0797615
8.83,0.0801652
8.84,0.0805675
8.85,0.0809685
8.86,0.0813682
8.87,0.0817665
8.88,0.0821635
8.89,0.0825592
8.9,0.0829535
8.91,0.0833465
8.92,0.0837381
8.93,0.0841284
8.94,0.0845174
8.95,0.084905
8.96,0.0852912
8.97,0.0856761
8.98,0.0860597
8.99,0.0864419
9,0.0868227
9.01,0.0872022
9.02,0.0875803
9.03,0.087957
9.04,0.0883324
9.05,0.0887064
9.06,0.089079
9.07,0.0894503
9.08,0.0898202
9.09,0.0901887
9.1,0.0905558
9.11,0.0909215
9.12,0.0912859
9.13,0.0916489
9.14,0.0920105
9.15,0.0923707
9.16,0.0927295
9.17,0.0930869
9.18,0.0934429
9.19,0.0937975
9.2,0.0941508
9.21,0.0945026
9.22,0.094853
9.23,0.095202
9.24,0.0955496
9.25,0.0958958
9.26,0.0962406
9.27,0.096584
9.28,0.096926
9.29,0.0972665
9.3,0.0976057
9.31,0.0979434
9.32,0.0982797
9.33,0.0986146
9.34,0.0989481
9.35,0.0992801
9.36,0.0996107
9.37,0.0999399
9.38,0.100268
9.39,0.100594
9.4,0.100919
9.41,0.101242
9.42,0.101564
9.43,0.101885
9.44,0.102204
9.45,0.102522
9.46,0.102838
9.47,0.103153
9.48,0.103466
9.49,0.103778
9.5,0.104089
9.51,0.104398
9.52,0.104705
9.53,0.105012
9.54,0.105316
9.55,0.105619
9.56,0.105921
9.57,0.106222
9.58,0.10652
9.59,0.106818
9.6,0.107114
9.61,0.107408
9.62,0.107701
9.63,0.107993
9.64,0.108283
9.65,0.108572
9.66,0.108859
9.67,0.109144
9.68,0.109429
9.69,0.109711
9.7,0.109993
9.71,0.110273
9.72,0.110551
9.73,0.110828
9.74,0.111103
9.75,0.111377
9.76,0.11165
9.77,0.11192
9.78,0.11219
9.79,0.112458
9.8,0.112724
9.81,0.11299
9.82,0.113253
9.83,0.113515
9.84,0.113776
9.85,0.114035
9.86,0.114292
9.87,0.114549
9.88,0.114803
9.89,0.115056
9.9,0.115308
9.91,0.115558
9.92,0.115807
9.93,0.116054
9.94,0.1163
9.95,0.116544
9.96,0.116787
9.97,0.117028
9.98,0.117267
9.99,0.117506
10,0.117742
10.01,0.117978
10.02,0.118211
10.03,0.118443
10.04,0.118674
10.05,0.118903
10.06,0.119131
10.07,0.119357
10.08,0.119582
10.09,0.119805
10.1,0.120027
10.11,0.120247
10.12,0.120466
10.13,0.120683
10.14,0.120899
10.15,0.121113
10.16,0.121325
10.17,0.121537
10.18,0.121746
10.19,0.121954
10.2,0.122161
10.21,0.122366
10.22,0.12257
10.23,0.122772
10.24,0.122972
10.25,0.123172
10.26,0.123369
10.27,0.123565
10.28,0.12376
10.29,0.123953
10.3,0.124144
10.31,0.124334
10.32,0.124523
10.33,0.12471
10.34,0.124895
10.35,0.125079
10.36,0.125262
10.37,0.125443
10.38,0.125622
10.39,0.1258
10.4,0.125977
10.41,0.126152
10.42,0.126325
10.43,0.126497
10.44,0.126667
10.45,0.126836
10.46,0.127003
10.47,0.127169
10.48,0.127334
10.49,0.127496
10.5,0.127658
10.51,0.127817
10.52,0.127976
10.53,0.128133
10.54,0.128288
10.55,0.128442
10.56,0.128594
10.57,0.128744
10.58,0.128894
10.59,0.129041
10.6,0.129188
10.61,0.129332
10.62,0.129475
10.63,0.129617
10.64,0.129757
10.65,0.129896
10.66,0.130033
10.67,0.130169
10.68,0.130303
10.69,0.130435
10.7,0.130566
10.71,0.130696
10.72,0.130824
10.73,0.130951
10.74,0.131076
10.75,0.131199
10.76,0.131321
10.77,0.131442
10.78,0.131561
10.79,0.131679
10.8,0.131795
10.81,0.131909
10.82,0.132022
10.83,0.132134
10.84,0.132244
10.85,0.132352
10.86,0.132459
10.87,0.132565
10.88,0.132669
10.89,0.132772
10.9,0.132873
10.91,0.132972
10.92,0.13307
10.93,0.133167
10.94,0.133262
10.95,0.133356
10.96,0.133448
10.97,0.133538
10.98,0.133627
10.99,0.133715
11,0.133801
11.01,0.133886
11.02,0.133969
11.03,0.134051
11.04,0.134131
11.05,0.13421
11.06,0.134287
11.07,0.134363
11.08,0.134437
11.09,0.13451
11.1,0.134581
11.11,0.134651
11.12,0.134719
11.13,0.134786
11.14,0.134851
11.15,0.134915
11.16,0.134978
11.17,0.135039
11.18,0.135098
11.19,0.135156
11.2,0.135213
11.21,0.135268
11.22,0.135321
11.23,0.135373
11.24,0.135424
11.25,0.135473
11.26,0.135521
11.27,0.135567
11.28,0.135612
11.29,0.135656
11.3,0.135697
11.31,0.135738
11.32,0.135777
11.33,0.135814
11.34,0.135851
11.35,0.135885
11.36,0.135918
11.37,0.13595
11.38,0.13598
11.39,0.136009
11.4,0.136037
11.41,0.136063
11.42,0.136087
11.43,0.13611
11.44,0.136132
11.45,0.136152
11.46,0.136171
11.47,0.136188
11.48,0.136204
11.49,0.136219
11.5,0.136232
11.51,0.136243
11.52,0.136253
11.53,0.136262
11.54,0.136269
11.55,0.136275
11.56,0.13628
11.57,0.136283
11.58,0.136285
11.59,0.136285
11.6,0.136284
11.61,0.136281
11.62,0.136277
11.63,0.136272
11.64,0.136265
11.65,0.136257
11.66,0.136247
11.67,0.136236
11.68,0.136224
11.69,0.13621
11.7,0.136194
11.71,0.136178
11.72,0.13616
11.73,0.13614
11.74,0.13612
11.75,0.136097
11.76,0.136074
11.77,0.136049
11.78,0.136023
11.79,0.135995
11.8,0.135966
11.81,0.135935
11.82,0.135904
11.83,0.13587
11.84,0.135836
11.85,0.1358
11.86,0.135762
11.87,0.135724
11.88,0.135684
11.89,0.135642
11.9,0.1356
11.91,0.135555
11.92,0.13551
11.93,0.135463
11.94,0.135415
11.95,0.135365
11.96,0.135315
11.97,0.135262
11.98,0.135209
11.99,0.135154
12,0.135098
12.01,0.13504
12.02,0.134981
12.03,0.134921
12.04,0.134859
12.05,0.134797
12.06,0.134732
12.07,0.134667
12.08,0.1346
12.09,0.134532
12.1,0.134462
12.11,0.134392
12.12,0.13432
12.13,0.134246
12.14,0.134171
12.15,0.134095
12.16,0.134018
12.17,0.13394
12.18,0.13386
12.19,0.133778
12.2,0.133696
12.21,0.133612
12.22,0.133527
12.23,0.133441
12.24,0.133353
12.25,0.133264
12.26,0.133174
12.27,0.133083
12.28,0.13299
12.29,0.132896
12.3,0.132801
12.31,0.132704
12.32,0.132606
12.33,0.132507
12.34,0.132407
12.35,0.132306
12.36,0.132203
12.37,0.132099
12.38,0.131994
12.39,0.131887
12.4,0.131779
12.41,0.13167
12.42,0.13156
12.43,0.131449
12.44,0.131336
12.45,0.131222
12.46,0.131107
12.47,0.13099
12.48,0.130873
12.49,0.130754
12.5,0.130634
12.51,0.130513
12.52,0.130391
12.53,0.130267
12.54,0.130142
12.55,0.130016
12.56,0.129889
12.57,0.12976
12.58,0.129631
12.59,0.1295
12.6,0.129368
12.61,0.129235
12.62,0.129101
12.63,0.128965
12.64,0.128829
12.65,0.128691
12.66,0.128552
12.67,0.128412
12.68,0.12827
12.69,0.128128
